Protocol,K,Trials,FPR,FNR
BB84,100,200,0.255,0.035
BB84,200,200,0.23,0.0
BB84,300,200,0.18,0.0
BB84,500,200,0.115,0.0
BB84,1000,200,0.045,0.0
BB84,2000,200,0.02,0.0
BB84,3000,200,0.0,0.0
Six-State,100,200,0.09,0.015
Six-State,200,200,0.12,0.0
Six-State,300,200,0.035,0.0
Six-State,500,200,0.01,0.0
Six-State,1000,200,0.0,0.0
Six-State,2000,200,0.0,0.0
Six-State,3000,200,0.0,0.0
E91,100,200,0.27,0.12
E91,200,200,0.23,0.05
E91,300,200,0.12,0.05
E91,500,200,0.065,0.015
E91,1000,200,0.015,0.0
E91,2000,200,0.0,0.0
E91,3000,200,0.0,0.0
