Protocol,Sweep,Config_Profile,Config_Point,Metric_Name,N_Trials,Running_Mean,Running_SE
BB84,sweep_a,Ideal_0%,f=0.0,QBER,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,QBER,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,QBER,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,QBER,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,QBER,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,SKR,10,0.5035999999999999,0.007112117984273202
BB84,sweep_a,Ideal_0%,f=0.0,SKR,25,0.50004,0.003542353266779965
BB84,sweep_a,Ideal_0%,f=0.0,SKR,50,0.49954,0.002290033419237479
BB84,sweep_a,Ideal_0%,f=0.0,SKR,100,0.5001000000000001,0.0017189672727683004
BB84,sweep_a,Ideal_0%,f=0.0,SKR,200,0.49974,0.0011479332531854132
BB84,sweep_a,Ideal_0%,f=0.0,FPR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,FPR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,FPR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,FPR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.0,FPR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.1,QBER,10,0.02678655967800525,0.00225961287656641
BB84,sweep_a,Ideal_0%,f=0.1,QBER,25,0.0251248614867518,0.0013144262735472433
BB84,sweep_a,Ideal_0%,f=0.1,QBER,50,0.024230258502761805,0.0009611244084454603
BB84,sweep_a,Ideal_0%,f=0.1,QBER,100,0.02467501503397646,0.0006404087308771714
BB84,sweep_a,Ideal_0%,f=0.1,QBER,200,0.024875867452821793,0.0004665544574721059
BB84,sweep_a,Ideal_0%,f=0.1,SKR,10,0.32021232460947907,0.011292225683753798
BB84,sweep_a,Ideal_0%,f=0.1,SKR,25,0.3317645844401904,0.007081984245263509
BB84,sweep_a,Ideal_0%,f=0.1,SKR,50,0.33569555474422896,0.005295691247373259
BB84,sweep_a,Ideal_0%,f=0.1,SKR,100,0.3344121076030706,0.0034523484983031887
BB84,sweep_a,Ideal_0%,f=0.1,SKR,200,0.3330375665151509,0.002559392897382005
BB84,sweep_a,Ideal_0%,f=0.1,FNR,10,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.1,FNR,25,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.1,FNR,50,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.1,FNR,100,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.1,FNR,200,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.2,QBER,10,0.05234670156314112,0.0038537798795454116
BB84,sweep_a,Ideal_0%,f=0.2,QBER,25,0.0498515551137874,0.0021513626704628254
BB84,sweep_a,Ideal_0%,f=0.2,QBER,50,0.05008444245570756,0.0015083379844087067
BB84,sweep_a,Ideal_0%,f=0.2,QBER,100,0.04975674813540204,0.000996454156039001
BB84,sweep_a,Ideal_0%,f=0.2,QBER,200,0.049405976505710554,0.0006738270189804485
BB84,sweep_a,Ideal_0%,f=0.2,SKR,10,0.20592452618293974,0.017033871448759445
BB84,sweep_a,Ideal_0%,f=0.2,SKR,25,0.21493295117098654,0.009262453074533893
BB84,sweep_a,Ideal_0%,f=0.2,SKR,50,0.21523671568032904,0.006564147710384074
BB84,sweep_a,Ideal_0%,f=0.2,SKR,100,0.21630846608346366,0.00434065432830965
BB84,sweep_a,Ideal_0%,f=0.2,SKR,200,0.217509069717891,0.0029492430668216245
BB84,sweep_a,Ideal_0%,f=0.2,FNR,10,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.2,FNR,25,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.2,FNR,50,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.2,FNR,100,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.2,FNR,200,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.3,QBER,10,0.07381594756890597,0.003066495679371778
BB84,sweep_a,Ideal_0%,f=0.3,QBER,25,0.07362434543700093,0.0018533931116344615
BB84,sweep_a,Ideal_0%,f=0.3,QBER,50,0.07589567534981405,0.0016599022535878926
BB84,sweep_a,Ideal_0%,f=0.3,QBER,100,0.07563332736086925,0.0012180705951893383
BB84,sweep_a,Ideal_0%,f=0.3,QBER,200,0.07469042070688228,0.0008446978533406892
BB84,sweep_a,Ideal_0%,f=0.3,SKR,10,0.12045547272698409,0.011295422884505062
BB84,sweep_a,Ideal_0%,f=0.3,SKR,25,0.12181585293010451,0.006951537939573965
BB84,sweep_a,Ideal_0%,f=0.3,SKR,50,0.1137100333336545,0.006069292635582386
BB84,sweep_a,Ideal_0%,f=0.3,SKR,100,0.11491923811434798,0.004419157904883113
BB84,sweep_a,Ideal_0%,f=0.3,SKR,200,0.11846981365000571,0.0031291402641954453
BB84,sweep_a,Ideal_0%,f=0.3,FNR,10,1.0,0.0
BB84,sweep_a,Ideal_0%,f=0.3,FNR,25,1.0,0.0
