Protocol,Channel,P_Noise,F_Eve,Trial,Metric_Name,Metric,SKR,Alarm,Detection_Outcome,N,n_sift,m,n_key,Q,leak_EC
BB84,Ideal_0%,0.0,0.0,0,QBER,0.0,0.515,0,0,1000,515,258,257,0.0,33
BB84,Ideal_0%,0.0,0.0,1,QBER,0.0,0.484,0,0,1000,484,242,242,0.0,31
BB84,Ideal_0%,0.0,0.0,2,QBER,0.0,0.474,0,0,1000,474,237,237,0.0,30
BB84,Ideal_0%,0.0,0.0,3,QBER,0.0,0.519,0,0,1000,519,260,259,0.0,33
BB84,Ideal_0%,0.0,0.0,4,QBER,0.0,0.487,0,0,1000,487,244,243,0.0,31
BB84,Ideal_0%,0.0,0.0,5,QBER,0.0,0.517,0,0,1000,517,258,259,0.0,33
BB84,Ideal_0%,0.0,0.0,6,QBER,0.0,0.55,0,0,1000,550,275,275,0.0,35
BB84,Ideal_0%,0.0,0.0,7,QBER,0.0,0.489,0,0,1000,489,244,245,0.0,31
BB84,Ideal_0%,0.0,0.0,8,QBER,0.0,0.494,0,0,1000,494,247,247,0.0,31
BB84,Ideal_0%,0.0,0.0,9,QBER,0.0,0.507,0,0,1000,507,254,253,0.0,32
BB84,Ideal_0%,0.0,0.0,10,QBER,0.0,0.498,0,0,1000,498,249,249,0.0,32
BB84,Ideal_0%,0.0,0.0,11,QBER,0.0,0.481,0,0,1000,481,240,241,0.0,31
BB84,Ideal_0%,0.0,0.0,12,QBER,0.0,0.513,0,0,1000,513,256,257,0.0,33
BB84,Ideal_0%,0.0,0.0,13,QBER,0.0,0.479,0,0,1000,479,240,239,0.0,30
BB84,Ideal_0%,0.0,0.0,14,QBER,0.0,0.487,0,0,1000,487,244,243,0.0,31
BB84,Ideal_0%,0.0,0.0,15,QBER,0.0,0.485,0,0,1000,485,242,243,0.0,31
BB84,Ideal_0%,0.0,0.0,16,QBER,0.0,0.479,0,0,1000,479,240,239,0.0,30
BB84,Ideal_0%,0.0,0.0,17,QBER,0.0,0.511,0,0,1000,511,256,255,0.0,32
BB84,Ideal_0%,0.0,0.0,18,QBER,0.0,0.504,0,0,1000,504,252,252,0.0,32
BB84,Ideal_0%,0.0,0.0,19,QBER,0.0,0.519,0,0,1000,519,260,259,0.0,33
BB84,Ideal_0%,0.0,0.0,20,QBER,0.0,0.515,0,0,1000,515,258,257,0.0,33
BB84,Ideal_0%,0.0,0.0,21,QBER,0.0,0.499,0,0,1000,499,250,249,0.0,32
BB84,Ideal_0%,0.0,0.0,22,QBER,0.0,0.495,0,0,1000,495,248,247,0.0,31
BB84,Ideal_0%,0.0,0.0,23,QBER,0.0,0.512,0,0,1000,512,256,256,0.0,32
