Protocol,Config,P_Noise,F_Eve,Source,N_trials,Mean_N,Mean_n_sift,Mean_m,Mean_Q,Mean_leak_EC,Mean_SKR_finite,CI95_Low_finite,CI95_High_finite,Mean_SKR_asymptotic
BB84,Ideal_0%,0.0,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,500.9,250.5,0.000000,31.8,0.00000000,0.00000000,0.00000000,0.50093000
BB84,Ideal_0%,0.0,0.0,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.7,249.9,0.000000,31.7,0.00000000,0.00000000,0.00000000,0.49974000
BB84,Ideal_0%,0.0,0.1,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.6,249.8,0.024876,47.8,0.00000000,0.00000000,0.00000000,0.33303757
BB84,Ideal_0%,0.0,0.2,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.7,249.8,0.049406,57.6,0.00000000,0.00000000,0.00000000,0.21750907
BB84,Ideal_0%,0.0,0.3,ci_pertrial_fsweep_ideal.csv,200,1000.0,500.1,250.0,0.074690,65.7,0.00000000,0.00000000,0.00000000,0.11846981
BB84,Ideal_0%,0.0,0.4,ci_pertrial_fsweep_ideal.csv,200,1000.0,500.2,250.1,0.100051,70.2,0.00000000,0.00000000,0.00000000,0.03855212
BB84,Ideal_0%,0.0,0.5,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.6,249.7,0.122581,74.0,0.00000000,0.00000000,0.00000000,0.00474173
BB84,Ideal_0%,0.0,0.6,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.8,249.8,0.148727,75.3,0.00000000,0.00000000,0.00000000,0.00014534
BB84,Ideal_0%,0.0,0.7,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.4,249.6,0.173479,77.2,0.00000000,0.00000000,0.00000000,0.00000000
BB84,Ideal_0%,0.0,0.8,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.6,249.8,0.196514,77.8,0.00000000,0.00000000,0.00000000,0.00000000
BB84,Ideal_0%,0.0,0.9,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.7,249.8,0.223673,77.9,0.00000000,0.00000000,0.00000000,0.00000000
BB84,Ideal_0%,0.0,1.0,ci_pertrial_fsweep_ideal.csv,200,1000.0,499.3,249.6,0.248691,78.3,0.00000000,0.00000000,0.00000000,0.00000000
BB84,Noise_2%,0.04,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,500.3,250.2,0.019507,43.7,0.00000000,0.00000000,0.00000000,0.36295192
BB84,Noise_5%,0.1,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,499.5,249.7,0.049056,58.4,0.00000000,0.00000000,0.00000000,0.21860131
BB84,Noise_8%,0.16,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,500.1,250.0,0.079795,67.2,0.00000000,0.00000000,0.00000000,0.10022620
BB84,Threshold_11%,0.22,0.0,ci_pertrial_fpr_noise.csv,200,1000.0,500.3,250.1,0.111080,73.0,0.00000000,0.00000000,0.00000000,0.01606019
E91,Ideal_0%,0.0,0.0,ci_pertrial_fpr_noise.csv,200,8192.0,1820.0,910.0,0.000000,114.2,0.00000000,0.00000000,0.00000000,0.22216736
E91,Ideal_0%,0.0,0.0,ci_pertrial_fsweep_ideal.csv,200,8192.0,1819.9,910.0,0.000000,114.2,0.00000000,0.00000000,0.00000000,0.22215088
E91,Ideal_0%,0.0,0.1,ci_pertrial_fsweep_ideal.csv,200,8192.0,1820.8,910.4,0.020544,162.4,0.00000000,0.00000000,0.00000000,0.15822285
